Item,Item_Coefficient,Item_Appraisal
accounts_payable_trd,-0.7587,-0.601
accrued_expense_deferred_income,-0.5719,-0.453
accrued_liability_long_term_int,-0.9219,-0.73
assets_sundry,-0.12,-0.095
book_earnings_xtrp,1.0011,0.793
book_quality_growth,1.4655,1.161
capital_surplus_book,-0.0038,-0.003
cash,0.163,0.129
cumulative_depreciation,0.0273,0.022
cumulative_trans_adj_book,-0.2628,-0.208
debt_in_current_liability,-0.9231,-0.731
debt_other_longterm,-0.8944,-0.709
deferred_charge,-0.2471,-0.196
deferred_tax_liability,-0.5304,-0.42
discontinued_operations_hist,-0.6425,-0.509
equity_reserves_other,-0.0087,-0.007
extraordinary_items_hist,-0.7365,-0.583
finished_goods,0.0088,0.007
goodwill,0.0723,0.057
income_tax_payable,-0.9288,-0.736
inv_and_adv_other,-0.2273,-0.18
loans_other,-0.0761,-0.06
minority_interest_bs,-1.146,-0.908
ordinary_capt_book,0.0347,0.028
other_intangibles,-0.0679,-0.054
other_inventory,-0.1362,-0.108
other_receivables_debt,-0.1874,-0.148
plant_net,-0.1064,-0.084
prepaid_expense_and_accrued_income,-0.1027,-0.081
provisional_other,-0.7008,-0.555
provisional_pension_liability,-0.8134,-0.644
raw_materials_inventory,-0.0976,-0.077
research_and_development_history,0.5931,0.47
retained_earnings,0.0195,0.015
sundry_current_assets,-0.202,-0.16
sundry_current_liability,-0.766,-0.607
sundry_long_term_liabilities,-0.7528,-0.596
trade_receivables,-0.0451,-0.036
