Item,Item_Coefficient,Item_Appraisal
accounts_payable_trd,-0.7587,-0.863
assets_sundry,-0.12,-0.136
book_earnings_xtrp,1.0011,1.139
capital_surplus_book,-0.0038,-0.004
cash,0.163,0.185
cumulative_depreciation,0.0273,0.031
debt_in_current_liability,-0.9231,-1.05
debt_other_longterm,-0.8944,-1.017
deferred_charge,-0.2471,-0.281
deferred_tax_liability,-0.5304,-0.603
finished_goods,0.0088,0.01
inv_and_adv_other,-0.2273,-0.259
loans_other,-0.0761,-0.087
ordinary_capt_book,0.0347,0.04
other_intangibles,-0.0679,-0.077
other_inventory,-0.1362,-0.155
other_receivables_debt,-0.1874,-0.213
plant_net,-0.1064,-0.121
prepaid_expense_and_accrued_income,-0.1027,-0.117
proposed_dividend,0.0016,0.002
provisional_other,-0.7008,-0.797
provisional_pension_liability,-0.8134,-0.925
raw_materials_inventory,-0.0976,-0.111
retained_earnings,0.0195,0.022
special_items_history,0.2052,0.233
sundry_current_assets,-0.202,-0.23
sundry_current_liability,-0.766,-0.871
sundry_long_term_liabilities,-0.7528,-0.856
trade_receivables,-0.0451,-0.051
work_in_progress,-0.0298,-0.034
