Item,Item_Coefficient,Item_Appraisal
accounts_payable_trd,-0.7587,-0.835
accrued_expense_deferred_income,-0.5719,-0.629
assets_sundry,-0.12,-0.132
book_earnings_xtrp,1.0011,1.101
cash,0.163,0.179
cumulative_depreciation,0.0273,0.03
cumulative_trans_adj_book,-0.2628,-0.289
debt_in_current_liability,-0.9231,-1.015
debt_other_longterm,-0.8944,-0.984
loans_other,-0.0761,-0.084
ordinary_capt_book,0.0347,0.038
other_intangibles,-0.0679,-0.075
other_inventory,-0.1362,-0.15
other_receivables_debt,-0.1874,-0.206
plant_net,-0.1064,-0.117
prepaid_expense_and_accrued_income,-0.1027,-0.113
provisional_pension_liability,-0.8134,-0.895
retained_earnings,0.0195,0.021
sundry_current_assets,-0.202,-0.222
sundry_current_liability,-0.766,-0.843
sundry_long_term_liabilities,-0.7528,-0.828
trade_receivables,-0.0451,-0.05
