Item,Item_Coefficient,Item_Appraisal
accounts_payable_trd,-0.7587,-0.433
assets_sundry,-0.12,-0.068
book_earnings_xtrp,1.0011,0.571
capital_surplus_book,-0.0038,-0.002
cash,0.163,0.093
cumulative_depreciation,0.0273,0.016
cumulative_trans_adj_book,-0.2628,-0.15
debt_in_current_liability,-0.9231,-0.526
debt_other_longterm,-0.8944,-0.51
deferred_charge,-0.2471,-0.141
deferred_tax_liability,-0.5304,-0.302
discontinued_operations_hist,-0.6425,-0.366
finished_goods,0.0088,0.005
goodwill,0.0723,0.041
income_tax_payable,-0.9288,-0.53
inv_and_adv_other,-0.2273,-0.13
investment_in_subsidiaries,-0.2563,-0.146
loans_other,-0.0761,-0.043
minority_interest_bs,-1.146,-0.653
ordinary_capt_book,0.0347,0.02
other_intangibles,-0.0679,-0.039
other_inventory,-0.1362,-0.078
other_receivables_debt,-0.1874,-0.107
plant_net,-0.1064,-0.061
prepaid_expense_and_accrued_income,-0.1027,-0.059
provisional_other,-0.7008,-0.399
provisional_pension_liability,-0.8134,-0.464
raw_materials_inventory,-0.0976,-0.056
research_and_development_history,0.5931,0.338
retained_earnings,0.0195,0.011
special_items_history,0.2052,0.117
sundry_current_assets,-0.202,-0.115
sundry_current_liability,-0.766,-0.437
sundry_long_term_liabilities,-0.7528,-0.429
trade_receivables,-0.0451,-0.026
treasury_stock_lb,-0.0014,-0.001
unrealized_gain,-0.1653,-0.094
work_in_progress,-0.0298,-0.017
