Item,Item_Coefficient,Item_Appraisal
accrued_liability_long_term_int,-0.9219,-0.948
assets_sundry,-0.12,-0.123
book_dividend_xtrp,0.9648,0.992
book_earnings_xtrp,1.0011,1.03
book_quality_growth,1.4655,1.507
capital_surplus_book,-0.0038,-0.004
cash,0.163,0.168
debt_in_current_liability,-0.9231,-0.949
debt_other_longterm,-0.8944,-0.92
deferred_charge,-0.2471,-0.254
deferred_tax_liability,-0.5304,-0.546
deposits_demand,-0.9891,-1.017
deposits_savings,-0.846,-0.87
discontinued_operations_hist,-0.6425,-0.661
equity_reserves_other,-0.0087,-0.009
extraordinary_items_hist,-0.7365,-0.758
goodwill,0.0723,0.074
government_security,0.1698,0.175
income_tax_payable,-0.9288,-0.955
intermediation,-0.0073,-0.008
invest_property,0.0333,0.034
investment_in_subsidiaries_securities,0.0193,0.02
loan_loss_reserve_asset,-0.0314,-0.032
loan_unearned_income,-0.3444,-0.354
loans_commercial,-0.0458,-0.047
loans_consumer,-0.0479,-0.049
loans_mortgage,-0.0031,-0.003
loans_other,-0.0761,-0.078
minority_interest_bs,-1.146,-1.179
non_performing_assets,-1.1354,-0.159
ordinary_capt_book,0.0347,0.036
other_intangibles,-0.0679,-0.07
other_security,-0.1942,-0.2
plant_net,-0.1064,-0.109
preferred_redeemable,-1.1275,-1.16
provisional_other,-0.7008,-0.721
provisional_pension_liability,-0.8134,-0.837
retained_earnings,0.0195,0.02
revaluation_reserves,-0.2919,-0.3
special_items_history,0.2052,0.211
sundry_current_liability,-0.766,-0.788
sundry_long_term_liabilities,-0.7528,-0.774
treasury_stock_lb,-0.0014,-0.001
