Item,Item_Coefficient,Item_Appraisal
assets_sundry,-0.12,-0.082
book_earnings_xtrp,1.0011,0.682
book_quality_growth,1.4655,0.999
cash,0.163,0.111
debt_in_current_liability,-0.9231,-0.629
debt_other_longterm,-0.8944,-0.61
deferred_tax_liability,-0.5304,-0.361
deposits_demand,-0.9891,-0.674
deposits_savings,-0.846,-0.577
equity_reserves_other,-0.0087,-0.006
extraordinary_items_hist,-0.7365,-0.502
goodwill,0.0723,0.049
government_security,0.1698,0.116
income_tax_payable,-0.9288,-0.633
intermediation,-0.0073,-0.005
invest_property,0.0333,0.023
investment_in_subsidiaries_securities,0.0193,0.013
loan_loss_reserve_asset,-0.0314,-0.021
loans_commercial,-0.0458,-0.031
loans_consumer,-0.0479,-0.033
loans_mortgage,-0.0031,-0.002
loans_other,-0.0761,-0.052
local_gvernment_security,0.056,0.038
minority_interest_bs,-1.146,-0.781
non_performing_assets,-1.1354,-0.106
ordinary_capt_book,0.0347,0.024
other_security,-0.1942,-0.132
plant_net,-0.1064,-0.073
retained_earnings,0.0195,0.013
sundry_long_term_liabilities,-0.7528,-0.513
treasury_stock_lb,-0.0014,-0.001
unrealized_gain,-0.1653,-0.113
