Item,Item_Coefficient,Item_Appraisal
accounts_payable_trd,-0.7587,-0.824
accrued_expense_deferred_income,-0.5719,-0.621
accrued_liability_long_term_int,-0.9219,-1.001
assets_sundry,-0.12,-0.13
book_earnings_xtrp,1.0011,1.087
book_quality_growth,1.4655,1.591
cash,0.163,0.177
cumulative_depreciation,0.0273,0.03
cumulative_trans_adj_book,-0.2628,-0.285
debt_in_current_liability,-0.9231,-1.002
debt_other_longterm,-0.8944,-0.971
deferred_charge,-0.2471,-0.268
deferred_tax_liability,-0.5304,-0.576
equity_reserves_other,-0.0087,-0.009
extraordinary_items_hist,-0.7365,-0.8
finished_goods,0.0088,0.01
goodwill,0.0723,0.078
income_tax_payable,-0.9288,-1.008
inv_and_adv_other,-0.2273,-0.247
investment_in_subsidiaries,-0.2563,-0.278
loans_other,-0.0761,-0.083
minority_interest_bs,-1.146,-1.244
ordinary_capt_book,0.0347,0.038
other_intangibles,-0.0679,-0.074
other_receivables_debt,-0.1874,-0.203
plant_net,-0.1064,-0.116
provisional_other,-0.7008,-0.761
provisional_pension_liability,-0.8134,-0.883
raw_materials_inventory,-0.0976,-0.106
research_and_development_history,0.5931,0.644
retained_earnings,0.0195,0.021
special_items_history,0.2052,0.223
sundry_current_assets,-0.202,-0.219
sundry_current_liability,-0.766,-0.832
sundry_long_term_liabilities,-0.7528,-0.817
trade_receivables,-0.0451,-0.049
