,id,name,country coefficient,value
1,AE,United Arab Emirates,0.1332,1.1332
2,AT,Austria,-0.1811,0.8189
3,AU,Australia,0.0339,1.0339
4,BE,Belgium,-0.0649,0.9351
5,CA,Canada,-0.058,0.942
6,CH,Switzerland,-0.1279,0.8721
7,CN,China,-0.0712,0.9288
8,CZ,Czech Republic,0.3759,1.3759
9,DE,Germany,0.0694,1.0694
10,DK,Denmark,0.1537,1.1537
11,EG,Egypt,0.1159,1.1159
12,ES,Spain,0.0088,1.0088
13,FI,Finland,-0.0523,0.9477
14,FR,France,-0.045,0.955
15,GB,United Kingdom,0.0862,1.0862
16,GR,Greece,-0.1154,0.8846
17,HK,Hong Kong,-0.2404,0.7596
18,HU,Hungary,0.2553,1.2553
19,ID,Indonesia,0.1211,1.1211
20,IE,Ireland,0.0622,1.0622
21,IL,Israel,0.2033,1.2033
22,IN,India,-0.0628,0.9372
23,IT,Italy,0.03,1.03
24,JO,Jordan,-0.0942,0.9058
25,KR,Korea,-0.15,0.85
26,LU,Luxembourg,0.0086,1.0086
27,MY,Malaysia,-0.2926,0.7074
28,NL,Netherlands,0.0752,1.0752
29,NO,Norway,0.2509,1.2509
30,NZ,New Zealand,0.0207,1.0207
31,PH,Philippines,0.0246,1.0246
32,PL,Poland,0.0196,1.0196
33,PT,Portugal,0.171,1.171
34,QA,Qatar,-0.1066,0.8934
35,RU,Russia,0.5081,1.5081
36,SA,Saudi Arabia,-0.0928,0.9072
37,SE,Sweden,-0.0774,0.9226
38,SG,Singapore,-0.2387,0.7613
39,TH,Thailand,-0.0799,0.9201
40,TR,Turkey,0.1552,1.1552
41,TW,Taiwan,-0.3143,0.6857
42,US,United States,0.22,1.22
43,ZA,South Africa,0.0969,1.0969
