,id,name,country coefficient,value
1,AE,United Arab Emirates,-0.2418,0.7562
2,AT,Austria,0.1354,1.1334
3,AU,Australia,0.178,1.176
4,BE,Belgium,-0.0874,0.9106
5,CA,Canada,-0.1224,0.8756
6,CH,Switzerland,-0.0079,0.9901
7,CN,China,-0.0885,0.9095
8,CZ,Czech Republic,-0.0528,0.9452
9,DE,Germany,0.129,1.127
10,DK,Denmark,0.1332,1.1312
11,EG,Egypt,0.1903,1.1883
12,ES,Spain,0.0645,1.0625
13,FI,Finland,0.1187,1.1167
14,FR,France,-0.0867,0.9113
15,GB,United Kingdom,0.0081,1.0061
16,GR,Greece,-0.0797,0.9183
17,HK,Hong Kong,-0.2161,0.7819
18,HU,Hungary,0.1255,1.1235
19,ID,Indonesia,-0.0453,0.9527
20,IE,Ireland,0.0672,1.0652
21,IL,Israel,-0.3814,0.6166
22,IN,India,0.0558,1.0538
23,IT,Italy,-0.1384,0.8596
24,JO,Jordan,-0.4266,0.5714
25,KR,Korea,-0.0371,0.9609
26,LU,Luxembourg,-0.0807,0.9173
27,MY,Malaysia,-0.2273,0.7707
28,NL,Netherlands,-0.0705,0.9275
29,NO,Norway,-0.2133,0.7847
30,NZ,New Zealand,0.0265,1.0245
31,PH,Philippines,-0.1648,0.8332
32,PL,Poland,-0.0061,0.9919
33,PT,Portugal,-0.0458,0.9522
34,QA,Qatar,-0.3668,0.6312
35,RU,Russia,-0.1173,0.8807
36,SA,Saudi Arabia,-0.5827,0.4153
37,SE,Sweden,0.0533,1.0513
38,SG,Singapore,-0.1175,0.8805
39,TH,Thailand,0.0107,1.0087
40,TR,Turkey,0.0782,1.0762
41,TW,Taiwan,-0.0437,0.9543
42,US,United States,-0.0081,0.9899
43,ZA,South Africa,0.0024,1.0004
